geo_id,dl_speed_100_ua,dl_speed_level_up,level_up_access_pop_percent
0500000US06001,25.0,100.0,0.9899199977981594
0500000US06003,25.0,100.0,0.11691762621789194
0500000US06005,25.0,100.0,0.32545093205202386
0500000US06007,25.0,100.0,0.8781719635378172
0500000US06009,25.0,100.0,0.8126347892386451
0500000US06011,25.0,100.0,0.3983849259757739
0500000US06013,25.0,100.0,0.9766515072967833
0500000US06015,25.0,100.0,0.935783115202071
0500000US06017,25.0,100.0,0.7473462593535607
0500000US06019,25.0,100.0,0.852490356262774
0500000US06021,25.0,100.0,0.6528721868066073
0500000US06023,25.0,100.0,0.9472107880021836
0500000US06025,25.0,100.0,0.8513975112435505
0500000US06027,25.0,100.0,0.8344143245190975
0500000US06029,25.0,100.0,0.9000241058346118
0500000US06031,25.0,100.0,0.768493876243224
0500000US06033,25.0,100.0,0.8808902556456373
0500000US06035,25.0,100.0,0.5175154548130704
0500000US06037,25.0,100.0,0.994450402809732
0500000US06039,25.0,100.0,0.7528142022666167
0500000US06041,25.0,100.0,0.9428959996290944
0500000US06043,25.0,100.0,0.40777771318955996
0500000US06045,25.0,100.0,0.8398944080047033
0500000US06047,25.0,100.0,0.803120171998401
0500000US06049,25.0,100.0,0.16016287750254496
0500000US06051,25.0,100.0,0.8278870119080587
0500000US06053,25.0,100.0,0.8949433374571777
0500000US06055,25.0,100.0,0.9157712858636311
0500000US06057,25.0,100.0,0.7074632850483685
0500000US06059,25.0,100.0,0.9854922958523685
0500000US06061,25.0,100.0,0.8720890531326257
0500000US06063,25.0,100.0,0.11857287180305205
0500000US06065,25.0,100.0,0.9683069031927459
0500000US06067,25.0,100.0,0.9603415860530626
0500000US06069,25.0,100.0,0.8875513518677749
0500000US06071,25.0,100.0,0.9483751232183509
0500000US06073,25.0,100.0,0.9780773620343106
0500000US06075,25.0,100.0,0.999948953489823
0500000US06077,25.0,100.0,0.9138716932015294
0500000US06079,25.0,100.0,0.887510552398176
0500000US06081,25.0,100.0,0.997574921109927
0500000US06083,25.0,100.0,0.9260849408397331
0500000US06085,25.0,100.0,0.994039998921079
0500000US06087,25.0,100.0,0.9908972120653117
0500000US06089,25.0,100.0,0.7641381608174145
0500000US06091,25.0,100.0,0.020299500831946756
0500000US06093,25.0,100.0,0.6780357840097384
0500000US06095,25.0,100.0,0.9151775641641404
0500000US06097,25.0,100.0,0.9502888723459347
0500000US06099,25.0,100.0,0.9324410707151418
0500000US06101,25.0,100.0,0.9082612327396851
0500000US06103,25.0,100.0,0.48884518468440785
0500000US06105,25.0,100.0,0.2341066341066341
0500000US06107,25.0,100.0,0.8047997288676578
0500000US06109,25.0,100.0,0.9894636366973825
0500000US06111,25.0,100.0,0.9845142942248637
0500000US06113,25.0,100.0,0.8682993197278912
0500000US06115,25.0,100.0,0.7587329028321554
